;0
0;https://www.lemonde.fr/afrique/article/2017/08/22/sierra-leone-apres-les-inondations-les-victimes-livrees-a-elles-memes_5175276_3212.html?xtmc=plastique_ocean&xtcr=230
1;https://www.lemonde.fr/sciences/article/2016/12/05/nouvelle-caledonie-paradis-naturaliste_5043664_1650684.html?xtmc=plastique_ocean&xtcr=382
2;https://www.lemonde.fr/archives/article/1991/01/22/les-trompe-la-mort-d-el-ahsa-moteurs-hurlants-les-jaguar-francais-foncent-sur-le-koweit_4014281_1819218.html?xtmc=plastique_ocean&xtcr=363
3;https://www.lemonde.fr/archives/article/1985/12/27/des-affrontements-tribaux-pres-de-durban-ont-fait-plus-de-cinquante-morts_2757633_1819218.html?xtmc=plastique_ocean&xtcr=97
4;https://www.lemonde.fr/archives/article/1985/12/27/des-affrontements-tribaux-pres-de-durban-ont-fait-plus-de-cinquante-morts_2757633_1819218.html?xtmc=plastique_ocean&xtcr=103
5;https://www.lemonde.fr/m-mode-business-of-fashion/article/2017/05/24/julien-d-ys-l-artiste-capillaire_5133289_4497393.html?xtmc=plastique_ocean&xtcr=427
6;https://www.lemonde.fr/archives/article/1999/05/15/un-indien-fait-le-pont-entre-hugo-et-godard_3547780_1819218.html?xtmc=plastique_ocean&xtcr=183
7;https://www.lemonde.fr/planete/article/2018/04/19/bombay-et-sa-region-interdisent-le-plastique-non-reutilisable_5287610_3244.html?xtmc=plastique_ocean&xtcr=14
8;https://www.lemonde.fr/planete/article/2012/04/25/thilafushi-la-bombe-toxique-des-maldives_1690857_3244.html?xtmc=plastique_ocean&xtcr=62
9;https://www.lemonde.fr/planete/article/2018/07/07/goelette-scientifique-tara-journal-de-bord-n-8_5327825_3244.html?xtmc=plastique_ocean&xtcr=193
10;https://www.lemonde.fr/archives/article/1974/10/22/les-fidji-ou-le-bonheur-des-autres-i-un-jour-londres-eut-besoin-de-sucre_3092028_1819218.html?xtmc=plastique_ocean&xtcr=484
11;https://www.lemonde.fr/archives/article/1969/01/09/l-espace-moderne-d-olivier-debre_2421940_1819218.html?xtmc=plastique_ocean&xtcr=431
12;https://www.lemonde.fr/culture/article/2013/07/05/une-fenetre-sur-la-catalogne-a-avignon_3443122_3246.html?xtmc=plastique_ocean&xtcr=274
13;https://www.lemonde.fr/archives/article/1999/10/13/dans-l-ancienne-place-forte-des-milices-au-timor-oriental-des-taches-rouges-sur-les-murs-du-stade_3569000_1819218.html?xtmc=plastique_ocean&xtcr=355
14;https://www.lemonde.fr/vous/article/2010/04/19/les-jardins-fleurissent-en-ville_1338554_3238.html?xtmc=plastique_ocean&xtcr=287
15;https://www.lemonde.fr/planete/article/2015/06/12/a-seattle-les-kayaktivistes-contre-shell_4652541_3244.html?xtmc=plastique_ocean&xtcr=347
16;https://www.lemonde.fr/planete/article/2018/06/22/a-bord-de-la-goelette-tara-cap-vers-le-continent-de-plastique_5319945_3244.html?xtmc=plastique_ocean&xtcr=84
17;https://www.lemonde.fr/planete/article/2012/10/29/au-groenland-des-dechets-bloques-en-eaux-profondes_1782609_3244.html?xtmc=plastique_ocean&xtcr=27
18;https://www.lemonde.fr/archives/article/1973/06/28/a-fonds-perdus-d-henri-queffelec-le-naufrage-du-monte-christo-de-jean-mistler-survivre-de-dougal-robertson_3095614_1819218.html?xtmc=plastique_ocean&xtcr=393
19;https://www.lemonde.fr/cinema/article/2018/12/26/mirai-ma-petite-s-ur-psyche-enfantine-a-grand-spectacle_5402224_3476.html?xtmc=plastique_ocean&xtcr=262
20;https://www.lemonde.fr/livres/article/2018/10/18/jeremy-fel-horrifie-le-kansas_5371119_3260.html?xtmc=plastique_ocean&xtcr=127
21;https://www.lemonde.fr/archives/article/1964/05/21/la-grande-course-atlantique_2138246_1819218.html?xtmc=plastique_ocean&xtcr=133
22;https://www.lemonde.fr/livres/article/2015/03/17/shakespeare-est-le-semeur-d-eblouissements_4595373_3260.html?xtmc=plastique_ocean&xtcr=492
23;https://www.lemonde.fr/m-actu/article/2018/08/03/jean-rolin-a-la-poursuite-des-oiseaux-avant-disparition_5339088_4497186.html?xtmc=plastique_ocean&xtcr=315
24;https://www.lemonde.fr/archives/article/1994/09/03/epoque-les-cavaliers-de-l-ecume_3813269_1819218.html?xtmc=plastique_ocean&xtcr=324
25;https://www.lemonde.fr/archives/article/1951/03/02/rencontre-avec-enrico-gras-au-festival-de-punta-del-este_2064399_1819218.html?xtmc=plastique_ocean&xtcr=239
26;https://www.lemonde.fr/arts/article/2016/05/10/un-dak-art-sous-le-signe-de-la-colere_4916388_1655012.html?xtmc=plastique_ocean&xtcr=342
27;https://www.lemonde.fr/a-bord-de-l-aquarius/article/2016/07/14/canots-blancs-gris-ou-en-bois-typologie-des-esquifs-sauves-par-l-aquarius_4969550_4961323.html?xtmc=plastique_ocean&xtcr=123
28;https://www.lemonde.fr/archives/article/1989/04/06/l-enquete-les-eveques-conservateurs-en-progres-dans-le-nordeste-bresil-le-crepuscule-de-l-eglise-populaire_4106860_1819218.html?xtmc=plastique_ocean&xtcr=535
29;https://www.lemonde.fr/archives/article/1985/08/22/josef-koudelka_2760226_1819218.html?xtmc=plastique_ocean&xtcr=503
30;https://www.lemonde.fr/archives/article/1981/05/26/boutiques-a-idees_2722144_1819218.html?xtmc=plastique_ocean&xtcr=188
31;https://www.lemonde.fr/international/article/2018/11/30/north-sentinel-derriere-la-mort-d-un-missionnaire-une-longue-histoire-de-resistance_5391100_3210.html?xtmc=plastique_ocean&xtcr=447
32;https://www.lemonde.fr/archives/article/2000/09/13/sydney-la-magnifique_95095_1819218.html?xtmc=plastique_ocean&xtcr=311
33;https://www.lemonde.fr/voyage/article/2010/05/07/dans-manga-y-a-du-vin_1348278_3546.html?xtmc=plastique_ocean&xtcr=453
34;https://www.lemonde.fr/planete/article/2010/01/21/dans-l-ombre-du-co2-le-danger-o3_1294829_3244.html?xtmc=plastique_ocean&xtcr=241
35;https://www.lemonde.fr/archives/article/2001/03/15/fernando-savater-ou-le-courage-en-solitaire_4183740_1819218.html?xtmc=plastique_ocean&xtcr=469
36;https://www.lemonde.fr/afrique/article/2017/03/30/au-somaliland-des-regions-entieres-videes-par-la-secheresse_5102995_3212.html?xtmc=plastique_ocean&xtcr=508
37;https://www.lemonde.fr/sport/article/2013/01/14/francois-gabart-met-les-voiles-en-tete-du-vendee-globe_1816743_3242.html?xtmc=plastique_ocean&xtcr=245
38;https://www.lemonde.fr/archives/article/2002/07/01/heureusement-qu-on-a-le-football_283164_1819218.html?xtmc=plastique_ocean&xtcr=303
39;https://www.lemonde.fr/planete/article/2018/10/30/la-lutte-inegale-de-taiwan-contre-les-debris-marins_5376548_3244.html?xtmc=plastique_ocean&xtcr=75
40;https://www.lemonde.fr/planete/article/2012/05/09/les-plastiques-des-dechets-nefastes-pour-les-ecosystemes_1698047_3244.html?xtmc=plastique_ocean&xtcr=79
41;https://www.lemonde.fr/archives/article/1986/01/03/pollutions_2938297_1819218.html?xtmc=plastique_ocean&xtcr=196
42;https://www.lemonde.fr/archives/article/1995/10/20/le-chant-de-veille-de-maximin_3883420_1819218.html?xtmc=plastique_ocean&xtcr=243
43;https://www.lemonde.fr/vous/article/2008/11/15/glaciologie-des-canards-en-plastique-pour-etudier-la-fonte-d-un-glacier-groenlandais_1119111_3238.html?xtmc=plastique_ocean&xtcr=11
44;https://www.lemonde.fr/archives/article/1974/05/02/a-la-rochelle-deux-peterson-en-construction-pour-la-half-ton-cup_3087750_1819218.html?xtmc=plastique_ocean&xtcr=96
45;https://www.lemonde.fr/archives/article/1988/10/29/maurice-sans-paul-ni-virginie_4121307_1819218.html?xtmc=plastique_ocean&xtcr=387
46;https://www.lemonde.fr/archives/article/1977/04/14/variations-sur-une-ligne-droite_2857725_1819218.html?xtmc=plastique_ocean&xtcr=192
47;https://www.lemonde.fr/archives/article/1968/06/11/quatre-monocoques-parmi-les-cinq-favoris-de-la-traversee-de-l-atlantique_2497045_1819218.html?xtmc=plastique_ocean&xtcr=177
48;https://www.lemonde.fr/culture/article/2018/09/01/la-malbouffe-vue-du-ciel_5348811_3246.html?xtmc=plastique_ocean&xtcr=181
49;https://www.lemonde.fr/archives/article/1979/03/31/iii-ou-le-petrole-devient-verdure_2767800_1819218.html?xtmc=plastique_ocean&xtcr=392
50;https://www.lemonde.fr/archives/article/2002/07/13/frictions_284783_1819218.html?xtmc=plastique_ocean&xtcr=544
51;https://www.lemonde.fr/voyage/article/2006/04/21/porto-eternelle-rivale-de-lisbonne_764033_3546.html?xtmc=plastique_ocean&xtcr=158
52;https://www.lemonde.fr/archives/article/1978/11/27/un-paradis-touristique-pratiquement-inconnu_2998176_1819218.html?xtmc=plastique_ocean&xtcr=516
53;https://www.lemonde.fr/archives/article/1975/09/01/la-deuxieme-course-autour-du-monde-festival-sur-la-tamise_3100210_1819218.html?xtmc=plastique_ocean&xtcr=134
54;https://www.lemonde.fr/archives/article/1977/05/16/eh-maquereaux_2873160_1819218.html?xtmc=plastique_ocean&xtcr=67
55;https://www.lemonde.fr/archives/article/1954/01/22/a-traves-les-galeries_2034784_1819218.html?xtmc=plastique_ocean&xtcr=178
56;https://www.lemonde.fr/archives/article/1998/05/22/navigation-dans-les-vieux-quartiers_3647721_1819218.html?xtmc=plastique_ocean&xtcr=253
57;https://www.lemonde.fr/archives/article/1998/11/18/le-suicide-des-baleines-demeure-une-enigme_3696398_1819218.html?xtmc=plastique_ocean&xtcr=340
58;https://www.lemonde.fr/planete/article/2017/05/17/henderson-un-atoll-desert-et-isole-mais-couvert-de-plastique_5128781_3244.html?xtmc=plastique_ocean&xtcr=18
59;https://www.lemonde.fr/archives/article/1994/05/03/mode-d-emploi-consommation-les-decus-de-la-dinomania-les-resultats-des-operations-commerciales-exploitant-l-image-de-jurassic-park-sont-mitiges-pour-des-firmes-qui-ont-achete-les-l_3829779_1819218.html?xtmc=plastique_ocean&xtcr=279
60;https://www.lemonde.fr/afrique/article/2011/08/13/mogadiscio-outragee_1559230_3212.html?xtmc=plastique_ocean&xtcr=143
61;https://www.lemonde.fr/archives/article/2001/01/04/rodrigues-l-ile-solitaire_4156312_1819218.html?xtmc=plastique_ocean&xtcr=321
62;https://www.lemonde.fr/vous/article/2008/04/11/planete-plastique_1033402_3238.html?xtmc=plastique_ocean&xtcr=13
63;https://www.lemonde.fr/archives/article/1993/10/30/voyage-farouches-marquises_3935203_1819218.html?xtmc=plastique_ocean&xtcr=409
64;https://www.lemonde.fr/planete/article/2013/04/13/qui-stoppera-l-invasion-du-poisson-lion_3159302_3244.html?xtmc=plastique_ocean&xtcr=207
65;https://www.lemonde.fr/archives/article/2000/03/01/sur-le-chemin-des-capitales-khmeres_44690_1819218.html?xtmc=plastique_ocean&xtcr=443
66;https://www.lemonde.fr/archives/article/1979/06/09/la-mer-un-formidable-reservoir-de-stockage_2777174_1819218.html?xtmc=plastique_ocean&xtcr=237
67;https://www.lemonde.fr/archives/article/2002/11/04/les-bergers-de-l-ocean-s-attaquent-aux-dechets-marins_296737_1819218.html?xtmc=plastique_ocean&xtcr=69
68;https://www.lemonde.fr/archives/article/1971/04/24/le-petit-matin_2461426_1819218.html?xtmc=plastique_ocean&xtcr=144
69;https://www.lemonde.fr/archives/article/2002/03/28/sous-les-murailles-d-el-jadida_4239242_1819218.html?xtmc=plastique_ocean&xtcr=332
70;https://www.lemonde.fr/technologies/article/2014/01/06/objets-connectes-et-imprimantes-3d-vedettes-du-salon-de-las-vegas_4343351_651865.html?xtmc=plastique_ocean&xtcr=247
71;https://www.lemonde.fr/archives/article/1974/09/02/basalte-sous-la-mer-basalte-sous-les-fleurs_2527913_1819218.html?xtmc=plastique_ocean&xtcr=232
72;https://www.lemonde.fr/archives/article/2000/03/02/sur-le-chemin-des-capitales-khmeres_3684284_1819218.html?xtmc=plastique_ocean&xtcr=351
73;https://www.lemonde.fr/archives/article/1994/03/02/culture-photographie-le-panorama-de-san-francisco-au-musee-carnavalet-la-ville-dissequee-par-l-image_3801245_1819218.html?xtmc=plastique_ocean&xtcr=323
74;https://www.lemonde.fr/m-styles/article/2014/05/14/au-nicaragua-terre-d-eau-et-de-feu_4416785_4497319.html?xtmc=plastique_ocean&xtcr=341
75;https://www.lemonde.fr/vous/article/2011/08/13/francais-a-bali-bons-plans-au-paradis_1559355_3238.html?xtmc=plastique_ocean&xtcr=74
76;https://www.lemonde.fr/archives/article/1974/04/27/pour-le-classement-des-courses-en-mer-le-temps-travaille-contre-le-temps-compense_3089058_1819218.html?xtmc=plastique_ocean&xtcr=415
77;https://www.lemonde.fr/planete/article/2012/05/09/le-7e-continent-de-plastique-ces-tourbillons-de-dechets-dans-les-oceans_1696072_3244.html?xtmc=plastique_ocean&xtcr=61
78;https://www.lemonde.fr/planete/article/2014/07/01/88-de-la-surface-des-oceans-contaminee-par-du-plastique_4448338_3244.html?xtmc=plastique_ocean&xtcr=23
79;https://www.lemonde.fr/archives/article/2002/07/14/1-frictions_4259692_1819218.html?xtmc=plastique_ocean&xtcr=543
80;https://www.lemonde.fr/biodiversite/article/2016/12/28/la-france-installe-une-immense-aire-de-protection-autour-de-ses-terres-australes_5054660_1652692.html?xtmc=plastique_ocean&xtcr=233
81;https://www.lemonde.fr/voyage/article/2007/09/28/seattle-ville-de-la-bio-attitude_960754_3546.html?xtmc=plastique_ocean&xtcr=217
82;https://www.lemonde.fr/archives/article/1976/11/18/le-bois-fait-de-l-ombre-au-papier_2946008_1819218.html?xtmc=plastique_ocean&xtcr=413
83;https://www.lemonde.fr/festival/article/2016/08/18/les-horizons-bleu-azur-de-jacques-rozier_4984280_4415198.html?xtmc=plastique_ocean&xtcr=83
84;https://www.lemonde.fr/planete/article/2015/12/04/comment-la-cop21-peut-s-inspirer-des-peuples-du-pacifique_4824509_3244.html?xtmc=plastique_ocean&xtcr=182
85;https://www.lemonde.fr/archives/article/1964/08/22/iii-a-new-york-sous-la-corne-d-abondance_2126402_1819218.html?xtmc=plastique_ocean&xtcr=539
86;https://www.lemonde.fr/archives/article/1979/07/02/cinq-siecles-de-relations-etroites-et-tumultueuses-avec-l-europe_2781146_1819218.html?xtmc=plastique_ocean&xtcr=527
87;https://www.lemonde.fr/archives/article/1970/01/02/edward-heath-le-marin_2654640_1819218.html?xtmc=plastique_ocean&xtcr=272
88;https://www.lemonde.fr/archives/article/2001/03/14/fernando-savater-ou-le-courage-en-solitaire_161951_1819218.html?xtmc=plastique_ocean&xtcr=482
89;https://www.lemonde.fr/archives/article/2002/06/08/paysagistes-abstraits-et-videastes-enfants-naturels-de-claude-monet_279386_1819218.html?xtmc=plastique_ocean&xtcr=300
90;https://www.lemonde.fr/archives/article/1964/03/27/elle-sera-le-clou-du-pavillon-du-vatican-a-l-exposition-universelle-de-new-york_2119199_1819218.html?xtmc=plastique_ocean&xtcr=282
91;https://www.lemonde.fr/ete-2007/article/2007/07/26/les-nouragues-un-radeau-des-cimes-en-guyane_939366_781732.html?xtmc=plastique_ocean&xtcr=513
92;https://www.lemonde.fr/le-monde-2/article/2008/05/22/duong-thu-huong-inflexible-plume_1048449_1004868.html?xtmc=plastique_ocean&xtcr=534
93;https://www.lemonde.fr/pollution/article/2015/02/12/le-deversement-des-plastiques-dans-les-oceans-pourrait-decupler-d-ici-a-dix-ans_4575610_1652666.html?xtmc=plastique_ocean&xtcr=26
94;https://www.lemonde.fr/vous/article/2009/07/29/tuvalu-dernier-lagon-avant-l-apocalypse_1223801_3238.html?xtmc=plastique_ocean&xtcr=320
95;https://www.lemonde.fr/archives/article/1987/07/17/inquietude-face-a-un-regain-de-departs-illegaux-du-vietnam-on-nous-a-encourages-a-partir_4050070_1819218.html?xtmc=plastique_ocean&xtcr=301
96;https://www.lemonde.fr/pollution/article/2017/02/13/la-pollution-chimique-gagne-les-abysses_5079052_1652666.html?xtmc=plastique_ocean&xtcr=297
97;https://www.lemonde.fr/archives/article/1978/11/08/mauvaise-conscience_2997443_1819218.html?xtmc=plastique_ocean&xtcr=331
98;https://www.lemonde.fr/archives/article/1978/07/13/creation-nature-nature-de-la-creation_2999877_1819218.html?xtmc=plastique_ocean&xtcr=446
99;https://www.lemonde.fr/planete/article/2017/12/27/l-onu-ouvre-la-voie-a-un-futur-traite-sur-la-haute-mer_5234845_3244.html?xtmc=plastique_ocean&xtcr=50
100;https://www.lemonde.fr/archives/article/1996/06/06/lagos-monstre-couture-de-cicatrices-dans-la-boue-de-la-lagune_3734962_1819218.html?xtmc=plastique_ocean&xtcr=322
101;https://www.lemonde.fr/archives/article/1987/07/05/vendredi-10-juillet-la-part-de-l-autre-tf1-22-h-25-jeux-un-peu-troubles-de-l-identite_4046644_1819218.html?xtmc=plastique_ocean&xtcr=258
102;https://www.lemonde.fr/voyages-en-asie-pacifique/article/2006/11/03/rencontres-a-rodrigues_830490_3552.html?xtmc=plastique_ocean&xtcr=235
103;https://www.lemonde.fr/archives/article/1980/07/18/montreal-salut-la-parente_2793758_1819218.html?xtmc=plastique_ocean&xtcr=524
104;https://www.lemonde.fr/archives/article/2002/11/30/a-mombasa-au-paradise-hotel-comme-a-l-aeroport-un-veritable-carnage-a-ete-evite-de-justesse_4245312_1819218.html?xtmc=plastique_ocean&xtcr=120
105;https://www.lemonde.fr/archives/article/1998/08/12/l-ile-mysterieuse_3668018_1819218.html?xtmc=plastique_ocean&xtcr=398
106;https://www.lemonde.fr/archives/article/1980/04/10/vi-la-barbade-un-petit-miracle-au-vent-frais-de-l-histoire_2803591_1819218.html?xtmc=plastique_ocean&xtcr=479
107;https://www.lemonde.fr/voyage/article/2010/12/14/mont-cameroun-cendres-et-diamant_1453386_3546.html?xtmc=plastique_ocean&xtcr=383
108;https://www.lemonde.fr/impact-journalism-day/article/2014/09/22/l-ocean-nettoye-a-la-volonte_4492103_3432283.html?xtmc=plastique_ocean&xtcr=33
109;https://www.lemonde.fr/archives/article/2002/08/07/les-adresses_4259138_1819218.html?xtmc=plastique_ocean&xtcr=147
110;https://www.lemonde.fr/archives/article/1993/06/12/yemen-cafe-contre-kat_3947602_1819218.html?xtmc=plastique_ocean&xtcr=510
111;https://www.lemonde.fr/archives/article/1994/09/03/cuba-l-adieu-aux-fils_3812602_1819218.html?xtmc=plastique_ocean&xtcr=205
112;https://www.lemonde.fr/le-monde-2/article/2009/01/06/benicio-del-toro-le-jeu-de-la-mort_1136551_1004868.html?xtmc=plastique_ocean&xtcr=530
113;https://www.lemonde.fr/archives/article/1993/08/10/l-ete-festival-tristan-envoute-bayreuth-la-mise-en-scene-de-tristan-et-isolde-par-heiner-muller-triomphe-dans-la-ville-de-wagner_3942500_1819218.html?xtmc=plastique_ocean&xtcr=371
114;https://www.lemonde.fr/archives/article/2000/06/11/philippe-monnet-estime-avoir-atteint-son-everest-de-marin_3717679_1819218.html?xtmc=plastique_ocean&xtcr=405
115;https://www.lemonde.fr/international/article/2019/01/18/afrique-du-sud-terres-blanches-espoirs-noirs_5411031_3210.html?xtmc=plastique_ocean&xtcr=542
116;https://www.lemonde.fr/archives/article/1993/12/29/images-laver-le-grand-bleu_3972780_1819218.html?xtmc=plastique_ocean&xtcr=92
117;https://www.lemonde.fr/archives/article/2000/07/29/des-centaines-de-clandestins-rejoignent-les-canaries-dans-des-embarcations-de-fortune_3714243_1819218.html?xtmc=plastique_ocean&xtcr=352
118;https://www.lemonde.fr/archives/article/1998/11/18/le-suicide-des-baleines-demeure-une-enigme_3696398_1819218.html?xtmc=plastique_ocean&xtcr=376
119;https://www.lemonde.fr/archives/article/2001/03/14/fernando-savater-ou-le-courage-en-solitaire_161951_1819218.html?xtmc=plastique_ocean&xtcr=494
120;https://www.lemonde.fr/archives/article/1978/12/23/voyage-au-bout-de-l-exotisme_2984438_1819218.html?xtmc=plastique_ocean&xtcr=473
121;https://www.lemonde.fr/culture/article/2013/06/21/kanye-west-livre-un-album-taille-a-l-os_3434004_3246.html?xtmc=plastique_ocean&xtcr=291
122;https://www.lemonde.fr/archives/article/2003/03/19/la-guerre-en-irak-heure-par-heure-archives_313411_1819218.html?xtmc=plastique_ocean&xtcr=547
123;https://www.lemonde.fr/arts/article/2017/08/18/gabriele-galimberti-profession-monte-en-l-air_5173979_1655012.html?xtmc=plastique_ocean&xtcr=224
124;https://www.lemonde.fr/archives/article/2000/10/18/chronique-de-l-amerique-en-campagne_3716756_1819218.html?xtmc=plastique_ocean&xtcr=545
125;https://www.lemonde.fr/voyage/article/2006/05/01/le-perigord-noir-au-fil-de-la-vezere_1338210_3546.html?xtmc=plastique_ocean&xtcr=475
126;https://www.lemonde.fr/archives/article/1965/05/24/de-nombreux-amateurs-souhaitent-des-bateaux-plus-debonnaires-que-sportifs_2170216_1819218.html?xtmc=plastique_ocean&xtcr=166
127;https://www.lemonde.fr/archives/article/2000/12/27/coupe-de-l-america-2002-dix-defis-sont-deja-sur-les-rangs_3709198_1819218.html?xtmc=plastique_ocean&xtcr=305
128;https://www.lemonde.fr/archives/article/1974/06/28/la-reponse-de-m-roger-caillois_2540774_1819218.html?xtmc=plastique_ocean&xtcr=546
129;https://www.lemonde.fr/cop21/article/2015/10/08/le-train-du-climat-sur-les-rails_4785636_4527432.html?xtmc=plastique_ocean&xtcr=206
130;https://www.lemonde.fr/archives/article/1968/11/01/question-de-morale_2487882_1819218.html?xtmc=plastique_ocean&xtcr=349
131;https://www.lemonde.fr/archives/article/1974/10/22/les-fidji-ou-le-bonheur-des-autres-i-un-jour-londres-eut-besoin-de-sucre_3092028_1819218.html?xtmc=plastique_ocean&xtcr=496
132;https://www.lemonde.fr/archives/article/1975/01/31/le-ballet-de-l-opera-au-palais-des-sports_2600757_1819218.html?xtmc=plastique_ocean&xtcr=167
133;https://www.lemonde.fr/archives/article/1979/03/05/le-jour-ou-il-n-y-aura-personne-dans-la-glace_2768301_1819218.html?xtmc=plastique_ocean&xtcr=251
134;https://www.lemonde.fr/m-actu/article/2015/07/17/road-trip-a-la-francaise-etape-1_4686638_4497186.html?xtmc=plastique_ocean&xtcr=509
135;https://www.lemonde.fr/archives/article/2002/01/08/operation-de-la-derniere-chance-pour-sauver-les-deux-derniers-arbres-pasner-de-rodrigues_257304_1819218.html?xtmc=plastique_ocean&xtcr=125
